Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,VIP
0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,0017_01,Earth,False,G/0/P,TRAPPIST-1e,False
14.0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,0017_02,Earth,False,F/6/P,55 Cancri e,False
1.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,0020_01,Earth,True,E/0/S,TRAPPIST-1e,False
49.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,0020_02,Earth,True,E/0/S,55 Cancri e,False
29.0,0.0,0.0,173.72916912197996,0.0,0.0,Mollen Mcfaddennon,0020_03,Earth,True,E/0/S,55 Cancri e,False
10.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,0020_04,Earth,False,E/0/S,TRAPPIST-1e,False
1.0,224.687617481203,0.0,0.0,0.0,0.0,Mael Brantuarez,0020_05,Earth,True,E/0/S,PSO J318.5-22,False
7.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,0020_06,Earth,False,E/0/S,TRAPPIST-1e,False
21.0,980.0,2.0,69.0,0.0,0.0,missing,0022_01,Mars,False,D/0/P,TRAPPIST-1e,False
62.0,0.0,0.0,173.72916912197996,0.0,0.0,Penton Fullided,0024_01,Europa,True,C/2/S,TRAPPIST-1e,False
15.0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,0025_01,Earth,False,F/6/S,TRAPPIST-1e,False
34.0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,0026_01,Europa,False,C/0/P,55 Cancri e,False
43.0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,0028_01,Mars,False,F/8/P,TRAPPIST-1e,False
32.0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,0030_01,Earth,False,G/4/S,TRAPPIST-1e,False
47.0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,0031_01,Mars,False,F/9/P,TRAPPIST-1e,False
2.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,0031_02,Mars,False,F/9/P,TRAPPIST-1e,False
20.0,224.687617481203,0.0,1750.0,990.0,0.0,Dontch Datie,0031_03,Mars,False,F/9/P,TRAPPIST-1e,False
28.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,0034_01,Europa,True,D/1/S,55 Cancri e,False
23.0,784.0,964.0,0.0,951.0,0.0,Luse Butte,0035_01,Mars,False,D/1/P,55 Cancri e,False
15.0,0.0,492.0,48.0,20.0,401.0,Marina Leodger,0036_01,Earth,False,F/8/S,55 Cancri e,missing
20.0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,0038_01,Earth,False,F/10/S,55 Cancri e,False
30.0,0.0,0.0,173.72916912197996,0.0,0.0,Jorgie Batthewitt,0039_01,Earth,True,G/1/P,55 Cancri e,False
17.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,0041_01,Earth,True,G/2/P,TRAPPIST-1e,False
45.0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,0043_01,Europa,False,B/3/P,TRAPPIST-1e,False
55.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,0044_01,Earth,True,G/3/P,TRAPPIST-1e,False
4.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,0044_02,Earth,True,G/3/P,55 Cancri e,False
21.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,0044_03,Earth,True,G/3/P,PSO J318.5-22,False
21.0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,0045_01,Mars,False,F/10/P,TRAPPIST-1e,False
19.0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,0045_02,Mars,True,F/10/P,missing,False
35.0,790.0,0.0,0.0,311.1387779083431,0.0,Sony Lancis,0050_01,Earth,False,E/1/S,55 Cancri e,False
56.0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,0051_01,Earth,False,E/2/S,TRAPPIST-1e,False
28.82793046746535,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,0052_01,Earth,False,G/6/S,TRAPPIST-1e,False
25.0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,0053_01,Earth,False,F/11/S,TRAPPIST-1e,False
2.0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,0056_01,Europa,False,A/1/S,TRAPPIST-1e,False
38.0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,0056_02,Europa,True,A/1/S,TRAPPIST-1e,False
27.0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,0056_03,Europa,False,A/1/S,TRAPPIST-1e,False
36.0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,0058_01,Earth,True,G/7/S,PSO J318.5-22,False
22.0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,0061_01,Earth,False,F/12/S,TRAPPIST-1e,False
62.0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,0062_01,Earth,False,F/13/S,TRAPPIST-1e,False
15.0,0.0,0.0,0.0,0.0,0.0,missing,0064_01,Mars,True,F/14/S,TRAPPIST-1e,False
33.0,0.0,0.0,173.72916912197996,0.0,0.0,Colatz Keen,0064_02,missing,True,E/3/S,TRAPPIST-1e,False
62.0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,0066_01,Earth,False,G/6/P,TRAPPIST-1e,False
0.0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,0067_01,Earth,True,G/10/S,PSO J318.5-22,False
18.0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,0067_02,Earth,False,G/10/S,TRAPPIST-1e,False
21.0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,0067_03,Earth,False,F/15/S,55 Cancri e,False
28.82793046746535,793.0,0.0,2.0,253.0,0.0,Cinst Binie,0068_01,Mars,False,E/4/S,TRAPPIST-1e,False
42.0,887.0,0.0,9.0,6.0,0.0,missing,0069_01,Earth,False,F/16/S,TRAPPIST-1e,False
19.0,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,0070_01,Earth,False,F/13/P,TRAPPIST-1e,False
17.0,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,0071_01,Earth,False,F/14/P,TRAPPIST-1e,False
14.0,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,0072_01,Earth,False,F/17/S,TRAPPIST-1e,False
37.0,46.0,83.0,738.0,0.0,12.0,Gorn Make,0073_01,Mars,False,D/3/P,PSO J318.5-22,False
42.0,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,0074_01,Europa,False,C/3/S,TRAPPIST-1e,False
27.0,147.0,0.0,1018.0,0.0,0.0,Conk Dal,0076_01,Mars,False,F/18/S,TRAPPIST-1e,False
28.0,14.0,0.0,1295.0,0.0,0.0,Pon Blité,0077_01,Mars,False,F/15/P,TRAPPIST-1e,False
38.0,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,0078_01,Europa,False,C/4/S,TRAPPIST-1e,False
13.0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,0081_01,Earth,True,G/13/S,TRAPPIST-1e,False
42.0,7406.0,0.0,0.0,0.0,0.0,Totse Datte,0082_01,Mars,False,F/16/P,TRAPPIST-1e,False
2.0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,0082_02,Mars,True,F/16/P,TRAPPIST-1e,False
8.0,0.0,0.0,0.0,0.0,0.0,missing,0082_03,Mars,False,F/16/P,TRAPPIST-1e,False
24.0,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,0084_01,Earth,False,G/14/S,TRAPPIST-1e,False
40.0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,0085_01,Europa,True,C/5/S,TRAPPIST-1e,False
43.0,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,0086_01,Earth,False,F/17/P,TRAPPIST-1e,False
45.0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,0088_01,Mars,True,E/5/S,PSO J318.5-22,False
35.0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,0090_01,Earth,True,G/15/S,TRAPPIST-1e,False
26.0,224.687617481203,0.0,0.0,0.0,0.0,Deanne Yorkland,0091_01,Earth,True,G/16/S,TRAPPIST-1e,False
27.0,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,0091_02,Earth,False,F/20/S,TRAPPIST-1e,False
19.0,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,0092_01,Earth,False,G/9/P,TRAPPIST-1e,False
0.0,0.0,0.0,173.72916912197996,0.0,0.0,Stald Hewson,0092_02,Earth,True,G/9/P,TRAPPIST-1e,False
3.0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,0092_03,Earth,True,G/9/P,TRAPPIST-1e,False
54.0,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,0097_01,Europa,False,A/2/S,TRAPPIST-1e,False
26.0,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,0098_01,Earth,False,G/11/P,TRAPPIST-1e,False
26.0,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,0098_02,Earth,False,G/11/P,TRAPPIST-1e,False
23.0,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,0099_01,Earth,False,F/19/P,PSO J318.5-22,False
2.0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,0099_02,Earth,missing,G/12/P,TRAPPIST-1e,False
31.0,0.0,0.0,0.0,0.0,0.0,Book Trad,0101_01,Mars,True,missing,TRAPPIST-1e,False
18.0,0.0,0.0,0.0,830.0,91.0,Ritany Holson,0102_01,Earth,False,F/23/S,TRAPPIST-1e,False
24.0,0.0,458.07720329024676,0.0,0.0,17.0,Arlen Mclainez,0103_01,Earth,False,F/24/S,TRAPPIST-1e,False
9.0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,0103_02,Earth,True,G/18/S,55 Cancri e,False
6.0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,0103_03,Earth,True,G/18/S,TRAPPIST-1e,False
27.0,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,0105_01,Earth,missing,F/21/P,TRAPPIST-1e,False
21.0,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,0107_01,Mars,False,D/2/S,TRAPPIST-1e,False
23.0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,0108_01,Earth,True,G/19/S,TRAPPIST-1e,False
31.0,562.0,0.0,326.0,0.0,0.0,missing,0108_02,Earth,False,G/19/S,TRAPPIST-1e,False
0.0,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,0108_03,Earth,False,G/19/S,TRAPPIST-1e,missing
32.0,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,0110_01,Europa,False,missing,TRAPPIST-1e,False
40.0,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,0110_02,Europa,missing,B/5/P,TRAPPIST-1e,False
42.0,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,0110_03,Europa,False,B/5/P,TRAPPIST-1e,False
28.0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,0110_04,Europa,True,B/5/P,TRAPPIST-1e,False
29.0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,0111_01,Europa,True,E/6/S,TRAPPIST-1e,False
48.0,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,0112_01,Europa,False,B/1/S,55 Cancri e,True
64.0,0.0,0.0,804.0,0.0,0.0,Idary Carvis,0113_01,Earth,False,F/23/P,TRAPPIST-1e,False
27.0,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,0114_01,Earth,False,G/20/S,TRAPPIST-1e,False
26.0,0.0,0.0,0.0,0.0,304.8547912992357,Rohs Pead,0115_01,Mars,missing,F/24/P,TRAPPIST-1e,False
33.0,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,0116_01,Europa,False,D/4/P,TRAPPIST-1e,False
39.0,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,0119_01,missing,False,A/0/P,TRAPPIST-1e,False
13.0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,0119_02,Europa,True,A/0/P,TRAPPIST-1e,False
24.0,0.0,0.0,0.0,0.0,304.8547912992357,Bees Sacre,0120_01,Mars,True,F/25/P,TRAPPIST-1e,False
29.0,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,0122_01,Earth,False,G/21/S,TRAPPIST-1e,False
18.0,55.0,597.0,49.0,0.0,1.0,Iree Fielson,0123_01,Earth,False,F/27/P,TRAPPIST-1e,False
67.0,0.0,0.0,0.0,0.0,0.0,Milly Mish,0126_01,Mars,True,F/27/S,TRAPPIST-1e,False
35.0,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,0127_01,Mars,False,E/7/S,TRAPPIST-1e,False
61.0,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,0128_01,Mars,False,D/3/S,TRAPPIST-1e,True
45.0,2103.0,6.0,0.0,0.0,0.0,Barave Fles,0128_02,Mars,False,E/8/S,TRAPPIST-1e,False
22.0,0.0,0.0,173.72916912197996,0.0,0.0,Race Fowles,0129_01,Earth,True,G/22/S,PSO J318.5-22,False
19.0,0.0,0.0,0.0,0.0,0.0,Flynx Blie,0133_01,Mars,True,F/29/S,TRAPPIST-1e,False
36.0,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,0133_02,Mars,False,D/5/S,TRAPPIST-1e,False
19.0,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,0134_01,Earth,False,G/17/P,TRAPPIST-1e,False
47.0,97.0,418.0,126.0,25.0,55.0,missing,0136_01,Earth,False,G/23/S,PSO J318.5-22,False
13.0,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,0138_01,Earth,True,G/18/P,TRAPPIST-1e,False
34.0,0.0,22.0,0.0,564.0,207.0,Monah Gambs,0138_02,Earth,False,E/5/P,missing,False
35.0,0.0,0.0,0.0,0.0,0.0,Charda Myling,0139_01,Europa,True,C/6/S,55 Cancri e,False
24.0,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,0140_01,Earth,True,G/19/P,TRAPPIST-1e,False
26.0,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,0140_02,Earth,False,F/29/P,TRAPPIST-1e,False
31.0,224.687617481203,0.0,97.0,0.0,0.0,Pyrohs Harte,0141_01,Mars,False,F/30/P,TRAPPIST-1e,False
20.0,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,0144_01,Earth,False,F/31/S,TRAPPIST-1e,False
56.0,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,0146_01,Earth,False,G/25/S,TRAPPIST-1e,False
50.0,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,0147_01,Earth,True,G/26/S,TRAPPIST-1e,False
42.0,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,0148_01,Mars,False,F/31/P,TRAPPIST-1e,False
28.82793046746535,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,0149_01,Earth,True,G/27/S,55 Cancri e,False
38.0,0.0,0.0,0.0,0.0,0.0,Shanie Simson,0151_01,Earth,True,G/20/P,55 Cancri e,False
41.0,0.0,0.0,0.0,0.0,607.0,Andan Estron,0152_01,Earth,False,F/32/P,missing,False
22.0,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,0160_01,Earth,False,G/22/P,TRAPPIST-1e,False
26.0,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,0163_01,Europa,True,B/8/P,TRAPPIST-1e,False
17.0,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,0163_02,Europa,True,B/8/P,TRAPPIST-1e,False
57.0,50.0,1688.0,0.0,311.1387779083431,135.0,Fany Hutchinton,0164_01,Earth,False,G/28/S,TRAPPIST-1e,False
17.0,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,0164_02,Earth,True,G/28/S,PSO J318.5-22,False
35.0,0.0,0.0,0.0,0.0,0.0,Graven Anche,0165_01,Mars,True,F/37/P,TRAPPIST-1e,missing
13.0,0.0,0.0,0.0,0.0,0.0,Miten Floaf,0167_01,Mars,True,F/35/S,TRAPPIST-1e,False
27.0,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,0167_02,Mars,False,F/35/S,TRAPPIST-1e,False
31.0,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,0169_01,Earth,True,G/23/P,TRAPPIST-1e,False
24.0,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,0170_01,Earth,False,E/10/S,TRAPPIST-1e,False
19.0,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,0171_01,Earth,True,G/30/S,PSO J318.5-22,False
32.0,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,0172_01,Earth,True,G/24/P,TRAPPIST-1e,False
58.0,0.0,985.0,0.0,5.0,0.0,Hilip Grifford,0173_01,Earth,missing,E/11/S,TRAPPIST-1e,False
21.0,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,0174_01,Earth,False,F/38/P,55 Cancri e,False
38.0,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,0177_01,Europa,False,B/2/S,TRAPPIST-1e,False
38.0,3414.0,0.0,161.0,28.0,119.0,Wees Knik,0178_01,Mars,False,D/6/S,TRAPPIST-1e,False
19.0,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,0179_01,Earth,False,G/26/P,TRAPPIST-1e,False
0.0,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,0179_02,Earth,False,G/26/P,TRAPPIST-1e,False
3.0,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,0179_03,Earth,False,G/26/P,TRAPPIST-1e,False
20.0,0.0,0.0,3.0,299.0,92.0,Nancis Brighttt,0181_01,Earth,False,G/27/P,TRAPPIST-1e,False
24.0,0.0,0.0,0.0,0.0,0.0,Ksorab Disight,0182_01,Europa,True,C/3/P,TRAPPIST-1e,False
37.0,17.0,146.0,426.0,0.0,232.0,Stany Weaves,0183_01,Earth,False,F/36/S,TRAPPIST-1e,False
25.0,62.0,0.0,0.0,0.0,956.0,Camiet Shephendry,0186_01,Earth,False,G/28/P,TRAPPIST-1e,False
56.0,0.0,0.0,0.0,0.0,0.0,Branda Romez,0188_01,Earth,True,G/31/S,TRAPPIST-1e,False
49.0,84.0,3.0,401.0,202.0,98.0,Helly Booters,0189_01,Earth,False,E/8/P,55 Cancri e,False
11.0,0.0,0.0,0.0,0.0,0.0,missing,0190_01,Earth,True,G/32/S,55 Cancri e,False
1.0,0.0,0.0,0.0,0.0,0.0,Tance Adavisons,0192_01,Earth,True,G/29/P,TRAPPIST-1e,False
8.0,0.0,0.0,0.0,0.0,0.0,Robyny Adavisons,0192_02,Earth,False,G/29/P,TRAPPIST-1e,False
39.0,0.0,0.0,10.0,898.0,0.0,Lilace Adavisons,0192_03,Earth,False,G/29/P,TRAPPIST-1e,False
2.0,0.0,0.0,0.0,0.0,0.0,Sps Raf,0193_01,Mars,True,F/41/P,TRAPPIST-1e,False
23.0,224.687617481203,0.0,8.0,1072.0,0.0,Frook Raf,0193_02,Mars,False,F/41/P,TRAPPIST-1e,False
0.0,0.0,0.0,0.0,0.0,0.0,Goles Raf,0193_03,Mars,False,F/41/P,TRAPPIST-1e,False
39.0,406.0,0.0,867.0,0.0,0.0,Bar Floaf,0195_01,Mars,False,F/42/P,TRAPPIST-1e,False
25.0,1052.0,0.0,719.0,0.0,7.0,Caper Emead,0196_01,Mars,False,D/5/P,PSO J318.5-22,False
36.0,0.0,972.0,0.0,795.0,575.0,Astrak Dissper,0197_01,Europa,False,C/5/P,TRAPPIST-1e,False
52.0,0.0,0.0,0.0,0.0,0.0,Jeroy Cookson,0198_01,Earth,missing,G/30/P,PSO J318.5-22,False
18.0,0.0,0.0,0.0,0.0,0.0,Regana Morrows,0199_01,Earth,True,G/33/S,TRAPPIST-1e,False
15.0,0.0,0.0,0.0,0.0,0.0,Elia Colomonson,0200_01,Earth,True,G/31/P,TRAPPIST-1e,False
35.0,0.0,0.0,0.0,0.0,0.0,Kaffias Bacistion,0201_01,Europa,True,B/3/S,TRAPPIST-1e,False
47.0,0.0,0.0,0.0,0.0,0.0,Edaruma Bacistion,0201_02,Europa,True,B/3/S,TRAPPIST-1e,False
45.0,0.0,0.0,0.0,0.0,0.0,Pomera Embleng,0202_01,Europa,True,B/9/P,55 Cancri e,False
28.82793046746535,0.0,2433.0,173.72916912197996,878.0,443.0,Vegas Embleng,0202_02,Europa,False,A/2/P,55 Cancri e,False
51.0,0.0,0.0,0.0,0.0,0.0,Ancham Heateele,0203_01,Europa,True,C/8/S,TRAPPIST-1e,False
29.0,0.0,2.0,66.0,0.0,705.0,Carma Oneiles,0205_01,Earth,False,G/34/S,TRAPPIST-1e,False
28.82793046746535,2.0,1720.0,12.0,1125.0,122.0,Nuson Brugashed,0206_01,Europa,False,C/9/S,55 Cancri e,False
19.0,0.0,0.0,0.0,0.0,0.0,Thony Mcfaddennon,0207_01,Earth,True,G/32/P,PSO J318.5-22,False
24.0,0.0,0.0,173.72916912197996,0.0,0.0,Arraid Inicont,0210_01,missing,True,D/6/P,55 Cancri e,False
29.0,902.0,1.0,137.0,0.0,0.0,Pebuts Appie,0211_01,Mars,False,F/44/P,TRAPPIST-1e,False
11.0,0.0,0.0,0.0,0.0,0.0,Corsh Appie,0211_02,Mars,True,F/44/P,TRAPPIST-1e,False
17.0,848.0,0.0,307.0,182.0,0.0,Picers Date,0211_03,Mars,False,F/44/P,TRAPPIST-1e,False
13.0,192.0,0.0,0.0,51.0,739.0,Inen Workmans,0212_01,Earth,False,E/9/P,TRAPPIST-1e,False
35.0,147.0,188.0,0.0,10.0,387.0,Shally Workmans,0212_02,Earth,False,F/45/P,TRAPPIST-1e,False
21.0,367.0,281.0,0.0,0.0,146.0,Carita Navages,0213_01,Earth,False,F/46/P,TRAPPIST-1e,False
21.0,0.0,56.0,0.0,0.0,1918.0,Searla Garnes,0216_01,Earth,False,F/40/S,55 Cancri e,False
38.0,1517.0,0.0,0.0,27.0,0.0,Prilly Shieldson,0217_01,Earth,False,F/47/P,TRAPPIST-1e,False
19.0,0.0,0.0,0.0,0.0,0.0,Nica River,0219_01,Earth,True,G/36/P,TRAPPIST-1e,False
2.0,0.0,0.0,0.0,0.0,0.0,Tyle Wilsoney,0220_01,Earth,True,G/37/P,TRAPPIST-1e,False
0.0,0.0,0.0,0.0,0.0,0.0,Wena Wilsoney,0220_02,Earth,False,G/37/P,TRAPPIST-1e,False
13.0,0.0,0.0,0.0,0.0,0.0,Branca Wilsoney,0220_03,Earth,True,G/37/P,TRAPPIST-1e,False
25.0,122.0,84.0,173.72916912197996,0.0,0.0,Dont Wilsoney,0220_04,Earth,False,E/10/P,TRAPPIST-1e,False
16.0,0.0,3.0,0.0,0.0,1099.0,Velyne Wilsoney,0220_05,Earth,False,F/48/P,TRAPPIST-1e,False
1.0,0.0,0.0,0.0,0.0,0.0,Weney Wilsoney,0220_06,Earth,False,G/37/P,55 Cancri e,False
15.0,0.0,0.0,0.0,0.0,0.0,Guye Wilsoney,0220_07,Earth,True,G/37/P,TRAPPIST-1e,False
21.0,2237.0,0.0,119.0,0.0,0.0,Cowhex Blan,0221_01,Mars,False,E/13/S,55 Cancri e,False
23.0,1215.0,80.0,1.0,2.0,0.0,Yogark Reke,0221_02,Mars,False,E/13/S,TRAPPIST-1e,False
33.0,1933.0,12.0,188.0,1.0,0.0,Jacks Reke,0221_03,Mars,False,E/13/S,TRAPPIST-1e,False
21.0,0.0,0.0,0.0,0.0,0.0,Eerch Reke,0221_04,Mars,True,E/13/S,TRAPPIST-1e,False
41.0,1230.0,0.0,301.0,43.0,1023.0,Panbug Reke,0221_05,Mars,False,E/13/S,TRAPPIST-1e,False
16.0,915.0,0.0,221.0,234.0,0.0,Gran Reke,0221_06,Mars,False,E/13/S,TRAPPIST-1e,False
42.0,0.0,0.0,0.0,0.0,0.0,Rohs Reke,0221_07,Mars,True,E/13/S,TRAPPIST-1e,False
20.0,1406.0,0.0,0.0,11.0,0.0,Gone Perte,0222_01,Mars,False,F/41/S,TRAPPIST-1e,False
24.0,0.0,0.0,0.0,0.0,0.0,Colf Deva,0222_02,Mars,True,F/41/S,TRAPPIST-1e,False
16.0,0.0,0.0,0.0,0.0,0.0,Grake Perte,0222_03,Mars,True,E/14/S,TRAPPIST-1e,False
21.0,0.0,2.0,665.0,0.0,9.0,Evan Sykess,0223_01,Earth,False,G/35/S,TRAPPIST-1e,False
32.0,181.0,0.0,5.0,1634.0,0.0,Blues Queen,0224_01,Mars,False,F/42/S,TRAPPIST-1e,True
58.0,0.0,0.0,0.0,0.0,0.0,Carly Hortis,0225_01,Earth,True,G/38/P,PSO J318.5-22,False
24.0,4.0,7.0,0.0,713.0,79.0,Done Sellahaney,0229_01,Earth,False,F/43/S,TRAPPIST-1e,False
30.0,85.0,0.0,1.0,1720.0,0.0,Krus Nate,0231_01,Mars,False,F/44/S,TRAPPIST-1e,False
27.0,0.0,458.07720329024676,0.0,0.0,0.0,Nica Bakerrison,0232_01,Earth,True,G/36/S,PSO J318.5-22,False
